# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						AK7		AK7				Gene-disease association, 617965 (3), Autosomal recessive	
						AK9		AK9				Gene-disease association, 620705 (3), Autosomal recessive	
						AKAP3		AKAP3				Gene-disease association, 620353 (3), Autosomal recessive	
						AKAP9		AKAP9				Gene-disease association, 611820 (3), Autosomal dominant	
						AKR1C2		AKR1C2				Gene-disease association, 614279 (3), Autosomal recessive	
						AKR1C4		AKR1C4				Gene-disease association, 614279 (3), Autosomal recessive	
						AKR1D1		AKR1D1				Gene-disease association, 235555 (3), Autosomal recessive	
						AKT1		AKT1				Gene-disease association, 114480 (3), Autosomal dominant; Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 167000 (3), Autosomal dominant; Gene-disease association, 176920 (3), Unknown; Gene-disease association, 615109 (3), Autosomal dominant	
						AKT2		AKT2				Gene-disease association, 125853 (3), Autosomal dominant; Gene-disease association, 240900 (3), Autosomal dominant	
						AKT3		AKT3				Gene-disease association, 615937 (3), Autosomal dominant	
						ALAD		ALAD				Gene-disease association, 612740 (3), Autosomal recessive	
						ALAS2		ALAS2				Gene-disease association, 300751 (3), Unknown; Gene-disease association, 300752 (3), Unknown	
						ALB		ALB				Gene-disease association, 615999 (3), Autosomal recessive; Gene-disease association, 616000 (3), Autosomal recessive	
						ALDH18A1		ALDH18A1				Gene-disease association, 219150 (3), Autosomal recessive; Gene-disease association, 601162 (3), Autosomal dominant; Gene-disease association, 616586 (3), Autosomal recessive; Gene-disease association, 616603 (3), Autosomal dominant	
						ALDH1A2		ALDH1A2				Gene-disease association, 620025 (3), Autosomal recessive	
						ALDH1A3		ALDH1A3				Gene-disease association, 615113 (3), Autosomal recessive	
						ALDH2		ALDH2				Gene-disease association, 610251 (3), Autosomal dominant	
						ALDH3A2		ALDH3A2				Gene-disease association, 270200 (3), Autosomal recessive	
						ALDH4A1		ALDH4A1				Gene-disease association, 239510 (3), Autosomal recessive	
						ALDH5A1		ALDH5A1				Gene-disease association, 271980 (3), Autosomal recessive	
						ALDH6A1		ALDH6A1				Gene-disease association, 614105 (3), Autosomal recessive	
						ALDH7A1		ALDH7A1				Gene-disease association, 266100 (3), Autosomal recessive	
						ALDOA		ALDOA				Gene-disease association, 611881 (3), Autosomal recessive	
						ALDOB		ALDOB				Gene-disease association, 229600 (3), Autosomal recessive	
						ALG1		ALG1				Gene-disease association, 608540 (3), Autosomal recessive	
						ALG10B		ALG10B				Gene-disease association, 613688 (3), Autosomal dominant	
						ALG11		ALG11				Gene-disease association, 613661 (3), Autosomal recessive	
						ALG12		ALG12				Gene-disease association, 607143 (3), Autosomal recessive	
						ALG13		ALG13				Gene-disease association, 300884 (3), Unknown	
						ALG14		ALG14				Gene-disease association, 616227 (3), Autosomal recessive; Gene-disease association, 619031 (3), Autosomal recessive; Gene-disease association, 619036 (3), Autosomal recessive	
						ALG2		ALG2				Gene-disease association, 607906 (3), Autosomal recessive; Gene-disease association, 616228 (3), Autosomal recessive	
						ALG3		ALG3				Gene-disease association, 601110 (3), Autosomal recessive	
						ALG5		ALG5				Gene-disease association, 620056 (3), Autosomal dominant	
						ALG6		ALG6				Gene-disease association, 603147 (3), Autosomal recessive	
						ALG8		ALG8				Gene-disease association, 608104 (3), Autosomal recessive; Gene-disease association, 617874 (3), Autosomal dominant	
						ALG9		ALG9				Gene-disease association, 263210 (3), Autosomal recessive; Gene-disease association, 608776 (3), Autosomal recessive	
						ALKBH8		ALKBH8				Gene-disease association, 618504 (3), Autosomal recessive	
						ALMS1		ALMS1				Gene-disease association, 203800 (3), Autosomal recessive	
						ALOX12B		ALOX12B				Gene-disease association, 242100 (3), Autosomal recessive	
						ALOX5		ALOX5				Gene-disease association, 600807 (3), Autosomal dominant	
						ALOX5AP		ALOX5AP				Gene-disease association, 601367 (3), Unknown	
						ALOXE3		ALOXE3				Gene-disease association, 242100 (3), Autosomal recessive; Gene-disease association, 606545 (3), Autosomal recessive	
						ALPK1		ALPK1				Gene-disease association, 614979 (3), Autosomal dominant	
						ALPK3		ALPK3				Gene-disease association, 618052 (3), Autosomal recessive	
						ALPL		ALPL				Gene-disease association, 146300 (3), Autosomal recessive; Gene-disease association, 241500 (3), Autosomal recessive; Gene-disease association, 241510 (3), Autosomal recessive	
						ALS2		ALS2				Gene-disease association, 205100 (3), Autosomal recessive; Gene-disease association, 606353 (3), Autosomal recessive; Gene-disease association, 607225 (3), Autosomal recessive	
						ALX1		ALX1				Gene-disease association, 613456 (3), Autosomal recessive	
						ALX3		ALX3				Gene-disease association, 136760 (3), Autosomal recessive	
						ALX4		ALX4				Gene-disease association, 609597 (3), Autosomal dominant; Gene-disease association, 613451 (3), Autosomal recessive; Gene-disease association, 615529 (3), Autosomal dominant	
						AMACR		AMACR				Gene-disease association, 214950 (3), Autosomal recessive; Gene-disease association, 614307 (3), Autosomal recessive	
						AMBN		AMBN				Gene-disease association, 616270 (3), Autosomal recessive	
						AMELX		AMELX				Gene-disease association, 301200 (3), Unknown	
						AMER1		AMER1				Gene-disease association, 300373 (3), Unknown	
						AMFR		AMFR				Gene-disease association, 620379 (3), Autosomal recessive	
						AMH		AMH				Gene-disease association, 261550 (3), Autosomal recessive	
						AMHR2		AMHR2				Gene-disease association, 261550 (3), Autosomal recessive	
						AMMECR1		AMMECR1				Gene-disease association, 300990 (3), Unknown	
						AMN		AMN				Gene-disease association, 618882 (3), Autosomal recessive	
						AMOTL1		AMOTL1				Gene-disease association, 621192 (3), Autosomal dominant	
						AMPD1		AMPD1				Gene-disease association, 615511 (3), Autosomal recessive	
						AMPD2		AMPD2				Gene-disease association, 615686 (3), Autosomal recessive; Gene-disease association, 615809 (3), Autosomal recessive	
						AMPD3		AMPD3				Gene-disease association, 612874 (3), Autosomal recessive	
						AMT		AMT				Gene-disease association, 620398 (3), Autosomal recessive	
						AMTN		AMTN				Gene-disease association, 617607 (3), Autosomal dominant	
						ANAPC1		ANAPC1				Gene-disease association, 618625 (3), Autosomal recessive	
						ANAPC7		ANAPC7				Gene-disease association, 619699 (3), Autosomal recessive	
						ANG		ANG				Gene-disease association, 611895 (3), Autosomal dominant	
