# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						NEMF		NEMF				Gene-disease association, 619099 (3), Autosomal recessive	
						NEU1		NEU1				Gene-disease association, 256550 (3), Autosomal recessive	
						NEUROD1		NEUROD1				Gene-disease association, 125853 (3), Autosomal dominant; Gene-disease association, 606394 (3), Autosomal dominant	
						NEUROD2		NEUROD2				Gene-disease association, 618374 (3), Autosomal dominant	
						NEUROG1		NEUROG1				Gene-disease association, 620469 (3), Autosomal recessive	
						NEUROG3		NEUROG3				Gene-disease association, 610370 (3), Autosomal recessive	
						NEXMIF		NEXMIF				Gene-disease association, 300912 (3), Unknown	
						NEXN		NEXN				Gene-disease association, 613122 (3), Autosomal dominant; Gene-disease association, 613876 (3), Autosomal dominant; Gene-disease association, 621261 (3), Autosomal recessive	
						NF1		NF1				Gene-disease association, 162200 (3), Autosomal dominant; Gene-disease association, 162210 (3), Autosomal dominant; Gene-disease association, 193520 (3), Autosomal dominant; Gene-disease association, 601321 (3), Autosomal dominant; Gene-disease association, 607785 (3), Autosomal dominant	
						NF2		NF2				Gene-disease association, 101000 (3), Autosomal dominant; Gene-disease association, 607174 (3), Autosomal dominant	
						NFASC		NFASC				Gene-disease association, 618356 (3), Autosomal recessive	
						NFATC2		NFATC2				Gene-disease association, 620232 (3), Autosomal recessive	
						NFE2L2		NFE2L2				Gene-disease association, 617744 (3), Autosomal dominant	
						NFIA		NFIA				Gene-disease association, 613735 (3), Autosomal dominant	
						NFIB		NFIB				Gene-disease association, 618286 (3), Autosomal dominant	
						NFIX		NFIX				Gene-disease association, 602535 (3), Autosomal dominant; Gene-disease association, 614753 (3), Autosomal dominant	
						NFKB1		NFKB1				Gene-disease association, 616576 (3), Autosomal dominant	
						NFKB2		NFKB2				Gene-disease association, 615577 (3), Autosomal dominant	
						NFKBIA		NFKBIA				Gene-disease association, 612132 (3), Autosomal dominant	
						NFKBIL1		NFKBIL1				Gene-disease association, 180300 (3), Unknown	
						NFS1		NFS1				Gene-disease association, 619386 (3), Autosomal recessive	
						NFU1		NFU1				Gene-disease association, 605711 (3), Autosomal recessive; Gene-disease association, 620938 (3), Autosomal recessive	
						NGF		NGF				Gene-disease association, 608654 (3), Autosomal recessive	
						NGLY1		NGLY1				Gene-disease association, 615273 (3), Autosomal recessive	
						NHEJ1		NHEJ1				Gene-disease association, 611291 (3), Autosomal recessive; Gene-disease association, 620968 (3), Autosomal recessive	
						NHERF1		NHERF1				Gene-disease association, 612287 (3), Autosomal dominant	
						NHLH2		NHLH2				Gene-disease association, 619755 (3), Autosomal recessive	
						NHLRC1		NHLRC1				Gene-disease association, 620681 (3), Autosomal recessive	
						NHP2		NHP2				Gene-disease association, 224230 (3), Autosomal recessive; Gene-disease association, 613987 (3), Autosomal recessive	
						NHS		NHS				Gene-disease association, 302200 (3), Unknown; Gene-disease association, 302350 (3), Unknown	
						NIN		NIN				Gene-disease association, 614851 (3), Autosomal recessive	
						NIPA1		NIPA1				Gene-disease association, 600363 (3), Autosomal dominant	
						NIPAL4		NIPAL4				Gene-disease association, 612281 (3), Autosomal recessive	
						NIPBL		NIPBL				Gene-disease association, 122470 (3), Autosomal dominant	
						NIT1		NIT1				Gene-disease association, 621313 (3), Autosomal recessive	
						NKAP		NKAP				Gene-disease association, 301039 (3), Unknown	
						NKX2-1		NKX2-1				Gene-disease association, 118700 (3), Autosomal dominant; Gene-disease association, 188550 (3), Autosomal dominant; Gene-disease association, 610978 (3), Autosomal dominant	
						NKX2-5		NKX2-5				Gene-disease association, 108900 (3), Autosomal dominant; Gene-disease association, 187500 (3), Autosomal dominant; Gene-disease association, 217095 (3), Autosomal recessive; Gene-disease association, 225250 (3), Autosomal dominant; Gene-disease association, 614432 (3), Autosomal dominant; Gene-disease association, 614435 (3), Autosomal dominant	
						NKX2-6		NKX2-6				Gene-disease association, 217095 (3), Autosomal recessive	
						NKX3-2		NKX3-2				Gene-disease association, 613330 (3), Autosomal recessive	
						NKX6-2		NKX6-2				Gene-disease association, 617560 (3), Autosomal recessive	
						NLGN1		NLGN1				Gene-disease association, 618830 (3), Autosomal dominant	
						NLGN3		NLGN3				Gene-disease association, 209850 (3), Unknown; Gene-disease association, 300425 (3), Unknown	
						NLGN4X		NLGN4X				Gene-disease association, 209850 (3), Unknown; Gene-disease association, 300495 (3), Unknown	
						NLRC4		NLRC4				Gene-disease association, 616050 (3), Autosomal dominant; Gene-disease association, 616115 (3), Autosomal dominant	
						NLRP1		NLRP1				Gene-disease association, 606579 (3), Unknown; Gene-disease association, 615225 (3), Autosomal dominant; Gene-disease association, 617388 (3), Autosomal recessive; Gene-disease association, 618803 (3), Autosomal recessive	
						NLRP12		NLRP12				Gene-disease association, 611762 (3), Autosomal dominant	
						NLRP2		NLRP2				Gene-disease association, 620332 (3), Autosomal recessive	
						NLRP3		NLRP3				Gene-disease association, 120100 (3), Autosomal dominant; Gene-disease association, 148200 (3), Autosomal dominant; Gene-disease association, 191900 (3), Autosomal dominant; Gene-disease association, 607115 (3), Autosomal dominant; Gene-disease association, 617772 (3), Autosomal dominant	
						NLRP5		NLRP5				Gene-disease association, 620333 (3), Autosomal recessive	
						NLRP7		NLRP7				Gene-disease association, 231090 (3), Autosomal recessive; Gene-disease association, 621471 (3), Autosomal dominant	
						NME5		NME5				Gene-disease association, 620032 (3), Autosomal recessive	
						NME8		NME8				Gene-disease association, 610852 (3), Autosomal recessive	
						NMNAT1		NMNAT1				Gene-disease association, 608553 (3), Autosomal recessive; Gene-disease association, 619260 (3), Autosomal recessive	
						NNT		NNT				Gene-disease association, 614736 (3), Autosomal recessive	
						NOBOX		NOBOX				Gene-disease association, 611548 (3), Autosomal dominant	
						NOD2		NOD2				Gene-disease association, 186580 (3), Autosomal dominant; Gene-disease association, 266600 (3), Unknown; Gene-disease association, 617321 (3), Unknown	
						NODAL		NODAL				Gene-disease association, 270100 (3), Autosomal dominant	
						NOG		NOG				Gene-disease association, 184460 (3), Autosomal dominant; Gene-disease association, 185800 (3), Autosomal dominant; Gene-disease association, 186500 (3), Autosomal dominant; Gene-disease association, 186570 (3), Autosomal dominant; Gene-disease association, 611377 (3), Autosomal dominant	
						NOL3		NOL3				Gene-disease association, 614937 (3), Autosomal dominant	
						NONO		NONO				Gene-disease association, 300967 (3), Unknown	
						NOP10		NOP10				Gene-disease association, 224230 (3), Autosomal recessive; Gene-disease association, 620400 (3), Autosomal dominant; Gene-disease association, 620425 (3), Autosomal recessive	
						NOP56		NOP56				Gene-disease association, 614153 (3), Autosomal dominant	
						NOS1AP		NOS1AP				Gene-disease association, 619155 (3), Autosomal recessive	
						NOS3		NOS3				Gene-disease association, 621469 (3), Autosomal recessive	
						NOTCH1		NOTCH1				Gene-disease association, 109730 (3), Autosomal dominant; Gene-disease association, 616028 (3), Autosomal dominant	
						NOTCH2		NOTCH2				Gene-disease association, 102500 (3), Autosomal dominant; Gene-disease association, 610205 (3), Autosomal dominant	
						NOTCH2NLC		NOTCH2NLC				Gene-disease association, 603472 (3), Autosomal dominant; Gene-disease association, 618866 (3), Autosomal dominant; Gene-disease association, 619473 (3), Autosomal dominant	
						NOTCH3		NOTCH3				Gene-disease association, 125310 (3), Autosomal dominant; Gene-disease association, 130720 (3), Autosomal dominant; Gene-disease association, 608600 (3), Autosomal dominant; Gene-disease association, 615293 (3), Autosomal dominant; Gene-disease association, 621295 (3), Autosomal recessive	
						NOVA2		NOVA2				Gene-disease association, 618859 (3), Autosomal dominant	
						NPAP1		NPAP1				Gene-disease association, 176270 (3), Autosomal dominant	
						NPC1		NPC1				Gene-disease association, 257220 (3), Autosomal recessive	
						NPC2		NPC2				Gene-disease association, 607625 (3), Autosomal recessive	
						NPHP1		NPHP1				Gene-disease association, 256100 (3), Autosomal recessive; Gene-disease association, 266900 (3), Autosomal recessive; Gene-disease association, 609583 (3), Autosomal recessive	
						NPHP3		NPHP3				Gene-disease association, 208540 (3), Autosomal recessive; Gene-disease association, 267010 (3), Autosomal recessive; Gene-disease association, 604387 (3), Autosomal recessive	
						NPHP4		NPHP4				Gene-disease association, 606966 (3), Autosomal recessive; Gene-disease association, 606996 (3), Autosomal recessive	
						NPHS1		NPHS1				Gene-disease association, 256300 (3), Autosomal recessive	
						NPHS2		NPHS2				Gene-disease association, 600995 (3), Autosomal recessive	
						NPM1		NPM1				Gene-disease association, 601626 (3), Autosomal dominant	
						NPPA		NPPA				Gene-disease association, 612201 (3), Autosomal dominant; Gene-disease association, 615745 (3), Autosomal recessive	
						NPR2		NPR2				Gene-disease association, 602875 (3), Autosomal recessive; Gene-disease association, 615923 (3), Autosomal dominant; Gene-disease association, 616255 (3), Autosomal dominant	
						NPR3		NPR3				Gene-disease association, 619543 (3), Autosomal recessive	
						NPRL2		NPRL2				Gene-disease association, 617116 (3), Autosomal dominant	
						NPRL3		NPRL3				Gene-disease association, 617118 (3), Autosomal dominant	
						NPSR1		NPSR1				Gene-disease association, 621336 (3), Autosomal dominant	
						NPTX1		NPTX1				Gene-disease association, 620158 (3), Autosomal dominant	
						NQO2		NQO2				Gene-disease association, 114480 (3), Autosomal dominant	
						NR0B1		NR0B1				Gene-disease association, 300018 (3), Unknown; Gene-disease association, 300200 (3), Unknown	
						NR0B2		NR0B2				Gene-disease association, 601665 (3), Autosomal recessive	
						NR1H4		NR1H4				Gene-disease association, 617049 (3), Autosomal recessive	
						NR2E3		NR2E3				Gene-disease association, 268100 (3), Autosomal recessive; Gene-disease association, 611131 (3), Autosomal recessive	
						NR2F1		NR2F1				Gene-disease association, 615722 (3), Autosomal dominant	
						NR2F2		NR2F2				Gene-disease association, 615779 (3), Autosomal dominant; Gene-disease association, 618901 (3), Autosomal dominant	
						NR3C1		NR3C1				Gene-disease association, 615962 (3), Autosomal dominant	
						NR3C2		NR3C2				Gene-disease association, 177735 (3), Autosomal dominant; Gene-disease association, 605115 (3), Autosomal dominant	
						NR4A2		NR4A2				Gene-disease association, 168600 (3), Autosomal dominant; Gene-disease association, 619911 (3), Autosomal dominant	
						NR4A3		NR4A3				Gene-disease association, 612237 (3), Unknown	
						NR5A1		NR5A1				Gene-disease association, 612964 (3), Unknown; Gene-disease association, 612965 (3), Unknown; Gene-disease association, 613957 (3), Autosomal dominant; Gene-disease association, 617480 (3), Autosomal dominant	
						NR6A1		NR6A1				Gene-disease association, 621277 (3), Autosomal dominant	
						NRAS		NRAS				Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 137550 (3), Unknown; Gene-disease association, 162900 (3), Unknown; Gene-disease association, 163200 (3), Unknown; Gene-disease association, 188470 (3), Autosomal dominant; Gene-disease association, 249400 (3), Unknown; Gene-disease association, 613224 (3), Autosomal dominant; Gene-disease association, 614470 (3), Autosomal dominant	
						NRCAM		NRCAM				Gene-disease association, 619833 (3), Autosomal recessive	
						NRIP1		NRIP1				Gene-disease association, 618270 (3), Autosomal dominant	
						NRL		NRL				Gene-disease association, 613750 (3), Autosomal dominant; Gene-disease association, 621371 (3), Autosomal recessive	
						NRROS		NRROS				Gene-disease association, 618875 (3), Autosomal recessive	
						NRXN1		NRXN1				Gene-disease association, 614325 (3), Autosomal recessive; Gene-disease association, 621407 (3), Unknown	
						NSD1		NSD1				Gene-disease association, 117550 (3), Autosomal dominant	
						NSD2		NSD2				Gene-disease association, 194190 (3), Autosomal dominant; Gene-disease association, 619695 (3), Autosomal dominant	
						NSDHL		NSDHL				Gene-disease association, 300831 (3), Unknown; Gene-disease association, 308050 (3), Unknown	
						NSF		NSF				Gene-disease association, 619340 (3), Autosomal dominant	
						NSMCE2		NSMCE2				Gene-disease association, 617253 (3), Autosomal recessive	
						NSMCE3		NSMCE3				Gene-disease association, 617241 (3), Autosomal recessive	
						NSMF		NSMF				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 614838 (3), Autosomal dominant	
						NSRP1		NSRP1				Gene-disease association, 620001 (3), Autosomal recessive	
						NSUN2		NSUN2				Gene-disease association, 611091 (3), Autosomal recessive	
						NSUN3		NSUN3				Gene-disease association, 619012 (3), Autosomal recessive	
						NSUN6		NSUN6				Gene-disease association, 620779 (3), Autosomal recessive	
						NT5C2		NT5C2				Gene-disease association, 613162 (3), Autosomal recessive	
						NT5C3A		NT5C3A				Gene-disease association, 266120 (3), Autosomal recessive	
						NT5E		NT5E				Gene-disease association, 211800 (3), Autosomal recessive	
						NTF4		NTF4				Gene-disease association, 613100 (3), Unknown	
						NTHL1		NTHL1				Gene-disease association, 616415 (3), Autosomal recessive	
						NTN1		NTN1				Gene-disease association, 157600 (3), Autosomal dominant; Gene-disease association, 618264 (3), Autosomal dominant	
						NTNG2		NTNG2				Gene-disease association, 618718 (3), Autosomal recessive	
						NTRK1		NTRK1				Gene-disease association, 155240 (3), Autosomal dominant; Gene-disease association, 256800 (3), Autosomal recessive	
						NTRK2		NTRK2				Gene-disease association, 613886 (3), Autosomal dominant; Gene-disease association, 617830 (3), Autosomal dominant	
						NUAK2		NUAK2				Gene-disease association, 619452 (3), Autosomal recessive	
						NUBPL		NUBPL				Gene-disease association, 618242 (3), Autosomal recessive	
						NUDT15		NUDT15				Gene-disease association, 616903 (3), Autosomal dominant	
						NUDT2		NUDT2				Gene-disease association, 619844 (3), Autosomal recessive	
						NUP107		NUP107				Gene-disease association, 616730 (3), Autosomal recessive; Gene-disease association, 618078 (3), Autosomal recessive; Gene-disease association, 618348 (3), Autosomal recessive	
						NUP133		NUP133				Gene-disease association, 618177 (3), Autosomal recessive; Gene-disease association, 618349 (3), Autosomal recessive	
						NUP155		NUP155				Gene-disease association, 615770 (3), Autosomal recessive	
						NUP160		NUP160				Gene-disease association, 618178 (3), Autosomal recessive	
						NUP188		NUP188				Gene-disease association, 618804 (3), Autosomal recessive	
						NUP205		NUP205				Gene-disease association, 616893 (3), Autosomal recessive	
						NUP210L		NUP210L				Gene-disease association, 621057 (3), Autosomal recessive	
						NUP214		NUP214				Gene-disease association, 601626 (3), Autosomal dominant; Gene-disease association, 613065 (3), Unknown; Gene-disease association, 618426 (3), Autosomal recessive	
						NUP37		NUP37				Gene-disease association, 618179 (3), Autosomal recessive	
						NUP54		NUP54				Gene-disease association, 620427 (3), Autosomal recessive	
						NUP62		NUP62				Gene-disease association, 271930 (3), Autosomal recessive	
						NUP85		NUP85				Gene-disease association, 618176 (3), Autosomal recessive	
						NUP88		NUP88				Gene-disease association, 618393 (3), Autosomal recessive	
						NUP93		NUP93				Gene-disease association, 616892 (3), Autosomal recessive	
						NUS1		NUS1				Gene-disease association, 617082 (3), Autosomal recessive; Gene-disease association, 617831 (3), Autosomal dominant	
						NUTM2B-AS1		NUTM2B-AS1				Gene-disease association, 618637 (3), Autosomal dominant	
						NXN		NXN				Gene-disease association, 618529 (3), Autosomal recessive	
						NYX		NYX				Gene-disease association, 310500 (3), Unknown	
						OAS1		OAS1				Gene-disease association, 618042 (3), Autosomal dominant	
						OAS2		OAS2				Gene-disease association, 621409 (3), Autosomal dominant	
						OAT		OAT				Gene-disease association, 258870 (3), Autosomal recessive	
						OBSCN		OBSCN				Gene-disease association, 620235 (3), Autosomal recessive	
						OBSL1		OBSL1				Gene-disease association, 612921 (3), Autosomal recessive	
						OCA2		OCA2				Gene-disease association, 203200 (3), Autosomal recessive	
						OCLN		OCLN				Gene-disease association, 251290 (3), Autosomal recessive	
						OCRL		OCRL				Gene-disease association, 300555 (3), Unknown; Gene-disease association, 309000 (3), Unknown	
						ODAD1		ODAD1				Gene-disease association, 615067 (3), Autosomal recessive	
						ODAD2		ODAD2				Gene-disease association, 615451 (3), Autosomal recessive	
						ODAD3		ODAD3				Gene-disease association, 616037 (3), Autosomal recessive	
						ODAD4		ODAD4				Gene-disease association, 617092 (3), Autosomal recessive	
						ODAPH		ODAPH				Gene-disease association, 614832 (3), Autosomal recessive	
						ODC1		ODC1				Gene-disease association, 619075 (3), Autosomal dominant	
						OFD1		OFD1				Gene-disease association, 300209 (3), Unknown; Gene-disease association, 300424 (3), Unknown; Gene-disease association, 300804 (3), Unknown; Gene-disease association, 311200 (3), Unknown	
						OGDH		OGDH				Gene-disease association, 203740 (3), Autosomal recessive	
						OGG1		OGG1				Gene-disease association, 144700 (3), Unknown	
						OGT		OGT				Gene-disease association, 300997 (3), Unknown	
						OPA1		OPA1				Gene-disease association, 125250 (3), Autosomal dominant; Gene-disease association, 165500 (3), Autosomal dominant; Gene-disease association, 210000 (3), Autosomal recessive; Gene-disease association, 616896 (3), Autosomal recessive; Gene-disease association, 621481 (3), Autosomal dominant	
						OPA3		OPA3				Gene-disease association, 165300 (3), Autosomal dominant; Gene-disease association, 258501 (3), Autosomal recessive	
						OPCML		OPCML				Gene-disease association, 167000 (3), Autosomal dominant	
						OPHN1		OPHN1				Gene-disease association, 300486 (3), Unknown	
						OPLAH		OPLAH				Gene-disease association, 260005 (3), Autosomal recessive	
						OPN1LW		OPN1LW				Gene-disease association, 303700 (3), Unknown; Gene-disease association, 303900 (3), Unknown	
						OPN1MW		OPN1MW				Gene-disease association, 303700 (3), Unknown; Gene-disease association, 303800 (3), Unknown	
						OPN1SW		OPN1SW				Gene-disease association, 190900 (3), Autosomal dominant	
						OPTN		OPTN				Gene-disease association, 137760 (3), Autosomal dominant; Gene-disease association, 613435 (3), Autosomal recessive	
						ORAI1		ORAI1				Gene-disease association, 612782 (3), Autosomal recessive; Gene-disease association, 615883 (3), Autosomal dominant	
						ORC1		ORC1				Gene-disease association, 224690 (3), Autosomal recessive	
						ORC4		ORC4				Gene-disease association, 613800 (3), Autosomal recessive	
						ORC6		ORC6				Gene-disease association, 613803 (3), Autosomal recessive	
						OSBPL2		OSBPL2				Gene-disease association, 616340 (3), Autosomal dominant; Gene-disease association, 621400 (3), Autosomal recessive	
						OSGEP		OSGEP				Gene-disease association, 617729 (3), Autosomal recessive	
						OSMR		OSMR				Gene-disease association, 105250 (3), Autosomal dominant	
						OSTM1		OSTM1				Gene-disease association, 259720 (3), Autosomal recessive	
						OTC		OTC				Gene-disease association, 311250 (3), Unknown	
						OTOA		OTOA				Gene-disease association, 607039 (3), Autosomal recessive	
						OTOF		OTOF				Gene-disease association, 601071 (3), Autosomal recessive	
						OTOG		OTOG				Gene-disease association, 614945 (3), Autosomal recessive	
						OTOGL		OTOGL				Gene-disease association, 614944 (3), Autosomal recessive	
						OTUD5		OTUD5				Gene-disease association, 301056 (3), Unknown	
						OTUD6B		OTUD6B				Gene-disease association, 617452 (3), Autosomal recessive	
						OTUD7A		OTUD7A				Gene-disease association, 620790 (3), Autosomal recessive	
						OTULIN		OTULIN				Gene-disease association, 617099 (3), Autosomal recessive; Gene-disease association, 619986 (3), Autosomal dominant; Gene-disease association, 621030 (3), Autosomal dominant	
						OTX2		OTX2				Gene-disease association, 610125 (3), Autosomal dominant; Gene-disease association, 613986 (3), Autosomal dominant	
						OVOL2		OVOL2				Gene-disease association, 122000 (3), Autosomal dominant	
						OXCT1		OXCT1				Gene-disease association, 245050 (3), Autosomal recessive	
						OXGR1		OXGR1				Gene-disease association, 620374 (3), Autosomal dominant	
						OXR1		OXR1				Gene-disease association, 213000 (3), Autosomal recessive	
						P2RX2		P2RX2				Gene-disease association, 608224 (3), Autosomal dominant	
						P2RY12		P2RY12				Gene-disease association, 609821 (3), Autosomal recessive	
						P3H1		P3H1				Gene-disease association, 610915 (3), Autosomal recessive	
						P3H2		P3H2				Gene-disease association, 614292 (3), Autosomal recessive	
						P4HA2		P4HA2				Gene-disease association, 617238 (3), Autosomal dominant	
						P4HB		P4HB				Gene-disease association, 112240 (3), Autosomal dominant	
						PABPC1L		PABPC1L				Gene-disease association, 621093 (3), Autosomal recessive	
						PABPN1		PABPN1				Gene-disease association, 164300 (3), Autosomal dominant	
						PACS1		PACS1				Gene-disease association, 615009 (3), Autosomal dominant	
						PACS2		PACS2				Gene-disease association, 618067 (3), Autosomal dominant	
						PACSIN3		PACSIN3				Gene-disease association, 621343 (3), Autosomal recessive	
						PADI3		PADI3				Gene-disease association, 191480 (3), Autosomal recessive	
						PADI6		PADI6				Gene-disease association, 617234 (3), Autosomal recessive	
						PAFAH1B1		PAFAH1B1				Gene-disease association, 607432 (3), Autosomal dominant	
						PAH		PAH				Gene-disease association, 261600 (3), Autosomal recessive	
						PAICS		PAICS				Gene-disease association, 619859 (3), Autosomal recessive	
						PAK1		PAK1				Gene-disease association, 618158 (3), Autosomal dominant	
						PAK2		PAK2				Gene-disease association, 618458 (3), Autosomal dominant	
						PAK3		PAK3				Gene-disease association, 300558 (3), Unknown	
						PALB2		PALB2				Gene-disease association, 610832 (3), Autosomal recessive; Gene-disease association, 613348 (3), Autosomal dominant; Gene-disease association, 620442 (3), Autosomal dominant	
						PALLD		PALLD				Gene-disease association, 606856 (3), Autosomal dominant	
						PAM16		PAM16				Gene-disease association, 613320 (3), Autosomal recessive	
						PAN2		PAN2				Gene-disease association, 621384 (3), Autosomal recessive	
						PANK2		PANK2				Gene-disease association, 234200 (3), Autosomal recessive	
						PANK4		PANK4				Gene-disease association, 619593 (3), Autosomal dominant	
						PANX1		PANX1				Gene-disease association, 618550 (3), Autosomal dominant	
						PAPPA2		PAPPA2				Gene-disease association, 619489 (3), Autosomal recessive	
						PAPSS2		PAPSS2				Gene-disease association, 612847 (3), Autosomal recessive	
						PARK7		PARK7				Gene-disease association, 606324 (3), Autosomal recessive	
						PARN		PARN				Gene-disease association, 616353 (3), Autosomal recessive; Gene-disease association, 616371 (3), Autosomal dominant	
						PARS2		PARS2				Gene-disease association, 618437 (3), Autosomal recessive	
						PATL2		PATL2				Gene-disease association, 617743 (3), Autosomal recessive	
						PAX1		PAX1				Gene-disease association, 615560 (3), Autosomal recessive	
						PAX2		PAX2				Gene-disease association, 120330 (3), Autosomal dominant; Gene-disease association, 616002 (3), Autosomal dominant	
						PAX3		PAX3				Gene-disease association, 122880 (3), Autosomal dominant; Gene-disease association, 148820 (3), Autosomal recessive; Gene-disease association, 193500 (3), Autosomal dominant; Gene-disease association, 268220 (3), Unknown	
						PAX4		PAX4				Gene-disease association, 125853 (3), Autosomal dominant; Gene-disease association, 612225 (3), Autosomal dominant; Gene-disease association, 612227 (3), Autosomal recessive	
						PAX6		PAX6				Gene-disease association, 106210 (3), Autosomal dominant; Gene-disease association, 120200 (3), Autosomal dominant; Gene-disease association, 120430 (3), Autosomal dominant; Gene-disease association, 136520 (3), Autosomal dominant; Gene-disease association, 148190 (3), Autosomal dominant; Gene-disease association, 165550 (3), Autosomal dominant; Gene-disease association, 194072 (3), Autosomal dominant; Gene-disease association, 604229 (3), Autosomal dominant	
						PAX7		PAX7				Gene-disease association, 268220 (3), Unknown; Gene-disease association, 618578 (3), Autosomal recessive	
						PAX8		PAX8				Gene-disease association, 218700 (3), Autosomal dominant	
						PAX9		PAX9				Gene-disease association, 604625 (3), Autosomal dominant	
						PBRM1		PBRM1				Gene-disease association, 144700 (3), Unknown	
						PBX1		PBX1				Gene-disease association, 617641 (3), Autosomal dominant	
						PC		PC				Gene-disease association, 266150 (3), Autosomal recessive	
						PCARE		PCARE				Gene-disease association, 613428 (3), Autosomal recessive	
						PCBD1		PCBD1				Gene-disease association, 264070 (3), Autosomal recessive	
						PCCA		PCCA				Gene-disease association, 606054 (3), Autosomal recessive	
						PCCB		PCCB				Gene-disease association, 606054 (3), Autosomal recessive	
						PCDH12		PCDH12				Gene-disease association, 251280 (3), Autosomal recessive	
						PCDH15		PCDH15				Gene-disease association, 601067 (3), Autosomal recessive; Gene-disease association, 602083 (3), Autosomal recessive; Gene-disease association, 609533 (3), Autosomal recessive	
						PCDH19		PCDH19				Gene-disease association, 300088 (3), Unknown	
						PCDHGC4		PCDHGC4				Gene-disease association, 619880 (3), Autosomal dominant	
						PCGF2		PCGF2				Gene-disease association, 618371 (3), Autosomal dominant	
						PCK1		PCK1				Gene-disease association, 261680 (3), Autosomal recessive	
						PCK2		PCK2				Gene-disease association, 261650 (3), Autosomal recessive	
						PCLO		PCLO				Gene-disease association, 608027 (3), Autosomal recessive	
						PCNA		PCNA				Gene-disease association, 615919 (3), Autosomal recessive	
						PCNT		PCNT				Gene-disease association, 210720 (3), Autosomal recessive	
						PCSK1		PCSK1				Gene-disease association, 600955 (3), Autosomal recessive	
						PCSK9		PCSK9				Gene-disease association, 603776 (3), Autosomal dominant	
						PCYT1A		PCYT1A				Gene-disease association, 608940 (3), Autosomal recessive; Gene-disease association, 620680 (3), Autosomal recessive	
						PCYT2		PCYT2				Gene-disease association, 618770 (3), Autosomal recessive	
						PDCD1		PDCD1				Gene-disease association, 621004 (3), Autosomal recessive	
						PDCD10		PDCD10				Gene-disease association, 116860 (3), Autosomal dominant; Gene-disease association, 603285 (3), Autosomal dominant	
						PDCD6IP		PDCD6IP				Gene-disease association, 620047 (3), Autosomal recessive	
						PDE10A		PDE10A				Gene-disease association, 616921 (3), Autosomal recessive; Gene-disease association, 616922 (3), Autosomal dominant	
						PDE11A		PDE11A				Gene-disease association, 610475 (3), Autosomal dominant	
						PDE1C		PDE1C				Gene-disease association, 618140 (3), Autosomal dominant	
						PDE2A		PDE2A				Gene-disease association, 619150 (3), Autosomal recessive	
						PDE3A		PDE3A				Gene-disease association, 112410 (3), Autosomal dominant	
						PDE4D		PDE4D				Gene-disease association, 614613 (3), Autosomal dominant	
						PDE6A		PDE6A				Gene-disease association, 613810 (3), Autosomal recessive	
						PDE6B		PDE6B				Gene-disease association, 163500 (3), Autosomal dominant; Gene-disease association, 613801 (3), Autosomal recessive	
						PDE6C		PDE6C				Gene-disease association, 613093 (3), Autosomal recessive	
						PDE6D		PDE6D				Gene-disease association, 615665 (3), Autosomal recessive	
						PDE6G		PDE6G				Gene-disease association, 268000 (3), Autosomal recessive; Gene-disease association, 613582 (3), Autosomal recessive	
						PDE6H		PDE6H				Gene-disease association, 610024 (3), Autosomal recessive	
						PDE8B		PDE8B				Gene-disease association, 609161 (3), Autosomal dominant; Gene-disease association, 614190 (3), Autosomal dominant	
						PDGFB		PDGFB				Gene-disease association, 213600 (3), Autosomal dominant; Gene-disease association, 607174 (3), Autosomal dominant; Gene-disease association, 615483 (3), Autosomal dominant	
						PDGFRA		PDGFRA				Gene-disease association, 175510 (3), Autosomal dominant; Gene-disease association, 607685 (3), Unknown	
						PDGFRB		PDGFRB				Gene-disease association, 213600 (3), Autosomal dominant; Gene-disease association, 228550 (3), Autosomal dominant; Gene-disease association, 601812 (3), Autosomal dominant; Gene-disease association, 615007 (3), Autosomal dominant; Gene-disease association, 616592 (3), Autosomal dominant; Gene-disease association, 621091 (3), Autosomal dominant	
						PDGFRL		PDGFRL				Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 114550 (3), Unknown	
						PDHA1		PDHA1				Gene-disease association, 312170 (3), Unknown	
						PDHA2		PDHA2				Gene-disease association, 619828 (3), Autosomal recessive	
						PDHB		PDHB				Gene-disease association, 614111 (3), Autosomal recessive	
						PDHX		PDHX				Gene-disease association, 245349 (3), Autosomal recessive	
						PDK3		PDK3				Gene-disease association, 300905 (3), Unknown	
						PDLIM4		PDLIM4				Gene-disease association, 166710 (3), Autosomal dominant	
						PDP1		PDP1				Gene-disease association, 608782 (3), Autosomal recessive	
						PDSS1		PDSS1				Gene-disease association, 614651 (3), Autosomal recessive	
						PDSS2		PDSS2				Gene-disease association, 614652 (3), Autosomal recessive	
						PDX1		PDX1				Gene-disease association, 125853 (3), Autosomal dominant; Gene-disease association, 260370 (3), Autosomal recessive; Gene-disease association, 606392 (3), Autosomal dominant	
